Subject ID,Subject Age,Subject Gender,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Block,Control Type,Ratio of number of dots,Percentage of dots,Ratio of areas of dot sets (greater to smaller),Color One,Color Two,Response Time,Date/Time,Consecutive Rounds,Section,Feedback given,Key for "Yes" 
9,4,MALE,18,7,NO,YES,no,0,Equal Areas,2.5714285714285716,0.72,1.0000000000000002,null,null,0.968780122,2015-11-03T12:50:09.432,1,0,No,J
9,4,MALE,13,7,YES,NO,no,0,Inverse Areas,1.8571428571428572,0.65,2.725379287688445,null,null,1.012525413,2015-11-03T12:50:10.645,2,0,No,J
9,4,MALE,12,13,NO,YES,no,0,Equal Areas,1.0833333333333333,0.48,1.0000000000000002,null,null,1.001542049,2015-11-03T12:50:11.816,3,0,No,J
9,4,MALE,36,18,NO,NO,yes,0,Inverse Areas,2.0,0.6666666666666666,3.7629058601465935,null,null,0.996179086,2015-11-03T12:50:13.109,4,0,No,J
9,4,MALE,11,14,NO,YES,no,0,Inverse Areas,1.2727272727272727,0.44,1.5104301307839263,null,null,1.413773934,2015-11-03T12:50:14.734,5,0,No,J
9,4,MALE,12,13,NO,NO,yes,0,Equal Areas,1.0833333333333333,0.48,1.0,null,null,1.100682675,2015-11-03T12:50:16.098,6,0,No,J
9,4,MALE,15,9,YES,YES,yes,0,Equal Areas,1.6666666666666667,0.625,1.0000000000000002,null,null,1.035831488,2015-11-03T12:50:17.343,7,0,No,J
9,4,MALE,30,20,NO,NO,yes,0,Equal Areas,1.5,0.6,1.0,null,null,1.014563518,2015-11-03T12:50:18.563,8,0,No,J
9,4,MALE,14,11,NO,YES,no,0,Inverse Areas,1.2727272727272727,0.56,1.3891909667268265,null,null,1.089636879,2015-11-03T12:50:19.885,9,0,No,J
9,4,MALE,9,16,NO,NO,yes,0,Inverse Areas,1.7777777777777777,0.36,2.419508017111247,null,null,1.026599288,2015-11-03T12:50:21.052,10,0,No,J
9,4,MALE,14,11,NO,YES,no,0,Inverse Areas,1.2727272727272727,0.56,1.9483333592453813,null,null,0.96821992,2015-11-03T12:50:22.167,11,0,No,J
9,4,MALE,11,14,NO,NO,yes,0,Equal Areas,1.2727272727272727,0.44,1.0,null,null,1.02502089,2015-11-03T12:50:23.301,12,0,No,J
9,4,MALE,18,7,YES,YES,yes,0,Equal Areas,2.5714285714285716,0.72,1.0,null,null,10.891117435,2015-11-03T12:50:34.291,13,0,No,J
9,4,MALE,33,22,YES,YES,yes,0,Equal Areas,1.5,0.6,1.0000000000000002,null,null,0.98042589,2015-11-03T12:50:35.628,14,0,No,J
9,4,MALE,21,18,NO,YES,no,0,Inverse Areas,1.1666666666666667,0.5384615384615384,1.195094730888868,null,null,6.772388158,2015-11-03T12:50:42.800,15,0,No,J
9,4,MALE,9,16,NO,YES,no,0,Inverse Areas,1.7777777777777777,0.36,4.143578383806746,null,null,0.840012128,2015-11-03T12:50:43.929,16,0,No,J
9,4,MALE,12,13,NO,YES,no,0,Equal Areas,1.0833333333333333,0.48,1.0000000000000002,null,null,0.723565564,2015-11-03T12:50:44.917,17,0,No,J
9,4,MALE,18,5,YES,YES,yes,0,Equal Areas,3.6,0.782608695652174,1.0000000000000002,null,null,0.114148028,2015-11-03T12:50:45.162,18,0,No,J
9,4,MALE,16,12,NO,YES,no,0,Equal Areas,1.3333333333333333,0.5714285714285714,1.0,null,null,0.093154599,2015-11-03T12:50:45.579,19,0,No,J
9,4,MALE,16,9,NO,YES,no,0,Inverse Areas,1.7777777777777777,0.64,2.468844883379559,null,null,0.120219154,2015-11-03T12:50:45.880,20,0,No,J
9,4,MALE,11,14,NO,YES,no,0,Equal Areas,1.2727272727272727,0.44,1.0,null,null,0.261339795,2015-11-03T12:50:46.594,21,0,No,J
9,4,MALE,16,9,NO,YES,no,0,Inverse Areas,1.7777777777777777,0.64,3.391411941845279,null,null,0.960845793,2015-11-03T12:50:47.960,22,0,No,J
